ID,CODE,URL,LANGUAGE,DELETE?
1,unccd_0,https://qcat.wocat.net/en/unccd/view/unccd_0,en,X
2,unccd_1,https://qcat.wocat.net/en/unccd/view/unccd_1,en,
3,unccd_2,https://qcat.wocat.net/en/unccd/view/unccd_2,en,
4,unccd_3,https://qcat.wocat.net/en/unccd/view/unccd_3,en,
5,unccd_4,https://qcat.wocat.net/en/unccd/view/unccd_4,en,
6,unccd_5,https://qcat.wocat.net/en/unccd/view/unccd_5,en,
7,unccd_6,https://qcat.wocat.net/en/unccd/view/unccd_6,en,
8,unccd_7,https://qcat.wocat.net/en/unccd/view/unccd_7,en,
9,unccd_8,https://qcat.wocat.net/en/unccd/view/unccd_8,ru,
10,unccd_9,https://qcat.wocat.net/en/unccd/view/unccd_9,ru,
11,unccd_10,https://qcat.wocat.net/en/unccd/view/unccd_10,en,
12,unccd_11,https://qcat.wocat.net/en/unccd/view/unccd_11,ru,X
13,unccd_12,https://qcat.wocat.net/en/unccd/view/unccd_12,en,
14,unccd_13,https://qcat.wocat.net/en/unccd/view/unccd_13,ar,
15,unccd_14,https://qcat.wocat.net/en/unccd/view/unccd_14,ar,
16,unccd_15,https://qcat.wocat.net/en/unccd/view/unccd_15,en,
17,unccd_16,https://qcat.wocat.net/en/unccd/view/unccd_16,en,
18,unccd_17,https://qcat.wocat.net/en/unccd/view/unccd_17,en,
19,unccd_18,https://qcat.wocat.net/en/unccd/view/unccd_18,en,
20,unccd_19,https://qcat.wocat.net/en/unccd/view/unccd_19,ar,
21,unccd_20,https://qcat.wocat.net/en/unccd/view/unccd_20,en,
22,unccd_21,https://qcat.wocat.net/en/unccd/view/unccd_21,en,
23,unccd_22,https://qcat.wocat.net/en/unccd/view/unccd_22,en,
24,unccd_23,https://qcat.wocat.net/en/unccd/view/unccd_23,en,
25,unccd_24,https://qcat.wocat.net/en/unccd/view/unccd_24,fr,
26,unccd_25,https://qcat.wocat.net/en/unccd/view/unccd_25,fr,
27,unccd_26,https://qcat.wocat.net/en/unccd/view/unccd_26,fr,
28,unccd_27,https://qcat.wocat.net/en/unccd/view/unccd_27,fr,
29,unccd_28,https://qcat.wocat.net/en/unccd/view/unccd_28,fr,
30,unccd_29,https://qcat.wocat.net/en/unccd/view/unccd_29,en,X
31,unccd_30,https://qcat.wocat.net/en/unccd/view/unccd_30,es,
32,unccd_31,https://qcat.wocat.net/en/unccd/view/unccd_31,es,
33,unccd_32,https://qcat.wocat.net/en/unccd/view/unccd_32,es,
34,unccd_33,https://qcat.wocat.net/en/unccd/view/unccd_33,es,
35,unccd_34,https://qcat.wocat.net/en/unccd/view/unccd_34,es,
36,unccd_35,https://qcat.wocat.net/en/unccd/view/unccd_35,es,
37,unccd_36,https://qcat.wocat.net/en/unccd/view/unccd_36,es,
38,unccd_37,https://qcat.wocat.net/en/unccd/view/unccd_37,es,
39,unccd_38,https://qcat.wocat.net/en/unccd/view/unccd_38,es,
40,unccd_39,https://qcat.wocat.net/en/unccd/view/unccd_39,es,
41,unccd_40,https://qcat.wocat.net/en/unccd/view/unccd_40,es,
42,unccd_41,https://qcat.wocat.net/en/unccd/view/unccd_41,en,
43,unccd_42,https://qcat.wocat.net/en/unccd/view/unccd_42,en,
44,unccd_43,https://qcat.wocat.net/en/unccd/view/unccd_43,en,
45,unccd_44,https://qcat.wocat.net/en/unccd/view/unccd_44,en,
46,unccd_45,https://qcat.wocat.net/en/unccd/view/unccd_45,en,
47,unccd_46,https://qcat.wocat.net/en/unccd/view/unccd_46,en,
48,unccd_47,https://qcat.wocat.net/en/unccd/view/unccd_47,fr,
49,unccd_48,https://qcat.wocat.net/en/unccd/view/unccd_48,fr,X
50,unccd_49,https://qcat.wocat.net/en/unccd/view/unccd_49,en,
51,unccd_50,https://qcat.wocat.net/en/unccd/view/unccd_50,en,
52,unccd_51,https://qcat.wocat.net/en/unccd/view/unccd_51,en,
53,unccd_52,https://qcat.wocat.net/en/unccd/view/unccd_52,en,X
54,unccd_53,https://qcat.wocat.net/en/unccd/view/unccd_53,en,X
55,unccd_54,https://qcat.wocat.net/en/unccd/view/unccd_54,en,X
56,unccd_55,https://qcat.wocat.net/en/unccd/view/unccd_55,ar,
57,unccd_56,https://qcat.wocat.net/en/unccd/view/unccd_56,en,
58,unccd_57,https://qcat.wocat.net/en/unccd/view/unccd_57,es,
59,unccd_58,https://qcat.wocat.net/en/unccd/view/unccd_58,es,
60,unccd_59,https://qcat.wocat.net/en/unccd/view/unccd_59,es,
61,unccd_60,https://qcat.wocat.net/en/unccd/view/unccd_60,es,
62,unccd_61,https://qcat.wocat.net/en/unccd/view/unccd_61,es,
63,unccd_62,https://qcat.wocat.net/en/unccd/view/unccd_62,es,
64,unccd_63,https://qcat.wocat.net/en/unccd/view/unccd_63,es,
65,unccd_64,https://qcat.wocat.net/en/unccd/view/unccd_64,es,
66,unccd_65,https://qcat.wocat.net/en/unccd/view/unccd_65,es,
67,unccd_66,https://qcat.wocat.net/en/unccd/view/unccd_66,en,
68,unccd_67,https://qcat.wocat.net/en/unccd/view/unccd_67,en,
69,unccd_68,https://qcat.wocat.net/en/unccd/view/unccd_68,en,
70,unccd_69,https://qcat.wocat.net/en/unccd/view/unccd_69,en,
71,unccd_70,https://qcat.wocat.net/en/unccd/view/unccd_70,en,
72,unccd_71,https://qcat.wocat.net/en/unccd/view/unccd_71,en,
73,unccd_72,https://qcat.wocat.net/en/unccd/view/unccd_72,fr,
74,unccd_73,https://qcat.wocat.net/en/unccd/view/unccd_73,fr,
75,unccd_74,https://qcat.wocat.net/en/unccd/view/unccd_74,ar,
76,unccd_75,https://qcat.wocat.net/en/unccd/view/unccd_75,fr,
77,unccd_76,https://qcat.wocat.net/en/unccd/view/unccd_76,fr,
78,unccd_77,https://qcat.wocat.net/en/unccd/view/unccd_77,fr,
79,unccd_78,https://qcat.wocat.net/en/unccd/view/unccd_78,fr,
80,unccd_79,https://qcat.wocat.net/en/unccd/view/unccd_79,fr,
